start_date,end_date,status,ip_address,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,instructor_cohorts,gender,educator_experience,prior_ai_experience,prior_ai_grading_tool,review_time,time_impact,workflow_fit,workflow_comment,rubric_alignment,feedback_clarity,score_accuracy,score_trust,current_model_appropriate,continuation_recommendation,continuation_modification_text,preferred_ai_model,additional_comment,progress_numeric,finished_flag,answer_count,primary_eligible,partial_substantive,preferred_model_group,instructor_cohorts_score,educator_experience_score,prior_ai_experience_score,review_time_score,time_impact_score,workflow_fit_score,rubric_alignment_score,feedback_clarity_score,score_accuracy_score,score_trust_score,current_model_appropriate_score,support_continuation,continuation_support_label,time_saving_binary,workflow_fit_positive,trust_positive,model_appropriate_positive,human_oversight_score,evaluation_item_count,ai_evaluation_index
46169.46477,46169.46747,IP Address,50.203.155.130,100,233,TRUE,46169.46749,R_7Hbnt6Cfi7Tg4M0,NA,NA,NA,NA,25.7574,-80.4039,anonymous,EN,6 or more cohorts,Female,20+,Extensive experience,Yes,11-15 minutes,Saved some time,Somewhat agree,"It weeded out the assignments that were ""mastery"" and allowed me to focus on those that needed ""review"". Cuts the grading process in half allowing you to focus on those assignments that need review.",Agree,Agree,Good,Somewhat agree,Somewhat agree,Continue as-is,NA,AI flags low-confidence submissions for my review; the rest are auto-finalized,NA,100,TRUE,17,TRUE,FALSE,Limited human review,4,5,3,4,1,4,4,4,3,4,4,1,Continue in some form,Saved time,Agree,Agree,Agree,1,4,0.729166667
46169.76882,46169.83292,IP Address,186.77.196.114,100,5537,TRUE,46169.83292,R_3Cf9kLDOAO65OV3,NA,NA,NA,NA,12.1346,-86.2469,anonymous,EN,6 or more cohorts,Female,16-20,Some experience,Not sure,16-20 minutes,Made no difference,Neither agree nor disagree,"From my perspective, Vollee can provide a useful starting point for feedback. However, there were times when the feedback felt somewhat generic or did not fully capture the nuance of student responses, requiring additional instructor review and adjustment. I also think it is important to maintain opportunities for personalized feedback and instructor judgment, especially in assignments that benefit from human interpretation and relationship-building.",Neutral,Neutral,Poor,Somewhat agree,Somewhat disagree,Discontinue,NA,AI provides formative feedback only; I grade all submissions independently.,"The AI-generated scores were somewhat helpful as a starting point, but I still relied heavily on professional judgement to ensure accuracy and fairness.
I think the current model is most appropriate when AI is used as a support tool rather than the primary grader.
I would support continuing AI-assisted grading if instructors remain actively involved in reviewing scores and personalizing feedback.
My preferred model is one where AI helps identify trends, draft comments, and suggest targeted recommendations/resources, while instructors make final grading decisions and provide meaningful formative feedback.
AI can help improve efficiency, but human feedback is still essential for nuance, context, and building student connection and growth.",100,TRUE,17,TRUE,FALSE,Human-led grading,4,4,2,5,0,3,3,3,1,4,2,0,Discontinue,No saving or added time,Neutral/disagree,Agree,Neutral/disagree,3,4,0.4375
46169.84086,46169.84301,IP Address,130.250.253.24,100,185,TRUE,46169.84302,R_6o78qAvPaw1nfhT,NA,NA,NA,NA,39.9522,-75.1647,anonymous,EN,6 or more cohorts,Female,16-20,Some experience,Yes,6-10 minutes,Made no difference,Neither agree nor disagree,"The platform glitches and often has errors that are not in alignment with the ask of the task. The number of ""clicks"" to access work and feedback are excessive.",Neutral,Disagree,Good,Somewhat agree,Strongly disagree,Discontinue,NA,AI provides formative feedback only; I grade all submissions independently.,NA,100,TRUE,16,TRUE,FALSE,Human-led grading,4,4,2,3,0,3,3,2,3,4,1,0,Discontinue,No saving or added time,Neutral/disagree,Agree,Neutral/disagree,3,4,0.541666667
46170.30041,46170.30604,IP Address,168.221.166.14,100,486,TRUE,46170.30605,R_50re8A7KwJJ5cBT,NA,NA,NA,NA,25.9524,-80.2184,anonymous,EN,4-5 cohorts,Female,20+,Some experience,No,3-5 minutes,Saved significant time,Somewhat agree,I feel that the AI assistance helped by saving time and providing feedback on necessary corrections.,Agree,Agree,Good,Somewhat agree,Strongly agree,Continue as-is,NA,AI provides a first-pass grade and feedback; I review and approve every submission.,NA,100,TRUE,16,TRUE,FALSE,Universal human review,3,5,2,2,2,4,4,4,3,4,5,1,Continue in some form,Saved time,Agree,Agree,Agree,2,4,0.729166667
46172.75705,46172.75985,IP Address,71.196.82.165,100,242,TRUE,46172.75986,R_5lh6XTRIAqJe1g6,NA,NA,NA,NA,25.5333,-80.3973,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,6-10 minutes,Saved some time,Somewhat disagree,"I found that even though I had connected Vollee to my Brightspace, it would disconnect every few days and I had to keep going back and making sure it stayed connected.",Strongly disagree,Agree,Excellent,Strongly agree,Strongly agree,Continue with modifications (please describe),It is still time consuming to follow up.,I have no strong preference.,NA,100,TRUE,17,TRUE,FALSE,No strong preference,4,5,2,3,1,2,1,4,4,5,5,1,Continue in some form,Saved time,Neutral/disagree,Agree,Agree,NA,4,0.6875
46174.33054,46174.33271,IP Address,209.16.117.114,100,187,TRUE,46174.33272,R_1wi9w2zLcWzHyIB,NA,NA,NA,NA,28.5423,-81.5911,anonymous,EN,6 or more cohorts,Female,20+,Some experience,Yes,11-15 minutes,Saved some time,Somewhat disagree,"It's just a bit weird because it's one assignment of the four so it's different for the instructors and the students. It can just be a little confusing and it's a different process. Nothing wrong with that really, but it doesn't seamlessly fit into the established workflow.",Agree,Agree,Good,Somewhat agree,Somewhat agree,Continue as-is,NA,AI provides a first-pass grade and feedback; I review and approve every submission.,NA,100,TRUE,16,TRUE,FALSE,Universal human review,4,5,2,4,1,2,4,4,3,4,4,1,Continue in some form,Saved time,Neutral/disagree,Agree,Agree,2,4,0.729166667
46172.61624,46174.68652,IP Address,45.17.14.63,100,178872,TRUE,46174.68653,R_3ugJZeQqqSzsBsB,NA,NA,NA,NA,29.6138,-82.386,anonymous,EN,6 or more cohorts,Female,20+,Minimal experience,No,11-15 minutes,Saved some time,Somewhat agree,"What worked well with the AI-assisted grading, was it saved me time when the assignment was corrected according to the rubric and the learner was not having trouble understanding and engaging in her assignment. If the learner needed assistance with social emotional support, thought process, or reflecting on her work, the feedback from AI was not sufficient to help in her/his understanding.",Agree,Agree,Good,Somewhat agree,Somewhat agree,Continue with modifications (please describe),"The current model of AI-assisted grading and feedback in this course is follows the rubrics but needs two basic components for this group of learners. One, it needs to understand the Spanish language, it needs to give feedback in a more personal level. The learner may be very hardworking but does not fully understand technological factors and has difficulty navigating the course, may be embarrassed to contact the Help Desk, and is in need of cheerleading.",AI provides formative feedback only; I grade all submissions independently.,NA,100,TRUE,17,TRUE,FALSE,Human-led grading,4,5,1,4,1,4,4,4,3,4,4,1,Continue in some form,Saved time,Agree,Agree,Agree,3,4,0.729166667
46175.1041,46175.10826,IP Address,74.74.215.47,100,359,TRUE,46175.10827,R_3j0TmN7GxAGyThY,NA,NA,NA,NA,42.6234,-73.1154,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,16-20 minutes,Saved some time,Neither agree nor disagree,"The AI system worked well for me this term, other than having to go in and manually do the last couple of assignments. Almost all of mine were mastery so I did not have to assist much in grading.",Agree,Agree,Good,Somewhat agree,Somewhat agree,Continue as-is,NA,AI grades and delivers feedback automatically; I spot-check a random sample.,Not at this time.,100,TRUE,17,TRUE,FALSE,Limited human review,4,5,2,5,1,3,4,4,3,4,4,1,Continue in some form,Saved time,Neutral/disagree,Agree,Agree,1,4,0.729166667
46175.41508,46175.41825,IP Address,108.254.223.95,100,274,TRUE,46175.41827,R_7MbC0vBMguNzRQI,NA,NA,NA,NA,30.45,-81.6624,anonymous,EN,6 or more cohorts,Female,20+,Minimal experience,No,6-10 minutes,Saved some time,Neither agree nor disagree,NA,Neutral,Strongly disagree,Good,Somewhat agree,Strongly agree,Continue as-is,NA,I have no strong preference.,NA,100,TRUE,15,TRUE,FALSE,No strong preference,4,5,1,3,1,3,3,1,3,4,5,1,Continue in some form,Saved time,Neutral/disagree,Agree,Agree,NA,4,0.479166667
46175.6387,46175.64825,IP Address,108.206.40.205,100,825,TRUE,46175.64827,R_14mX4hy8LZxURq1,NA,NA,NA,NA,26.1792,-80.1749,anonymous,EN,6 or more cohorts,Female,20+,Minimal experience,No,11-15 minutes,Saved some time,Neither agree nor disagree,"The AI-assisted grading workflow helped save some time and provided a good starting point for feedback.  One challenge was that it sometimes only recognized certain file formats and had difficulty with submissions that were not uniform, which required additional review. At times, the feedback also needed adjustments to better reflect the participant's work and provide a more personal touch. It was a helpful tool, but instructor review was still important.",Agree,Agree,Fair,Somewhat agree,Strongly agree,Continue with modifications (please describe),AI grades are all reviewed by a human,AI provides a first-pass grade and feedback; I review and approve every submission.,na,100,TRUE,18,TRUE,FALSE,Universal human review,4,5,1,4,1,3,4,4,2,4,5,1,Continue in some form,Saved time,Neutral/disagree,Agree,Agree,2,4,0.645833333
46175.65053,46175.65402,IP Address,107.195.96.129,100,301,TRUE,46175.65402,R_3BwWZgOmEX3iRUs,NA,NA,NA,NA,26.1486,-80.2768,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,6-10 minutes,Saved significant time,Strongly agree,AI allowed me more time for me to facilitate other things in the course.,Agree,Agree,Good,Somewhat agree,Somewhat agree,Continue as-is,NA,AI provides a first-pass grade and feedback; I review and approve every submission.,No,100,TRUE,17,TRUE,FALSE,Universal human review,4,5,2,3,2,5,4,4,3,4,4,1,Continue in some form,Saved time,Agree,Agree,Agree,2,4,0.729166667
46175.84567,46175.85484,IP Address,73.49.53.95,100,791,TRUE,46175.85485,R_6KBp4U1P9RMjbtT,NA,NA,NA,NA,25.9092,-80.3927,anonymous,EN,6 or more cohorts,Female,20+,Minimal experience,No,11-15 minutes,Saved some time,Strongly agree,"Over time, we have been using Vollee, and I feel it has become better aligned with our rubrics and similar to my own feedback when grading. In addition, encouraging learners to use DOCX and PDF in Part 1 courses has decreased their attempts at submitting assignments to Vollee in any other format, minimizing the need for invalid resubmissions in Assignment #3. Messaging to Learners about Vollee in advance has also helped in their understanding of the shift for this specific assignment.",Agree,Agree,Good,Somewhat agree,Strongly agree,Continue as-is,NA,AI flags low-confidence submissions for my review; the rest are auto-finalized,N/A,100,TRUE,17,TRUE,FALSE,Limited human review,4,5,1,4,1,5,4,4,3,4,5,1,Continue in some form,Saved time,Agree,Agree,Agree,1,4,0.729166667
46176.24546,46176.25417,IP Address,216.40.67.248,100,751,TRUE,46176.25418,R_50J0crvZW07GOYC,NA,NA,NA,NA,29.2816,-82.4379,anonymous,EN,6 or more cohorts,Female,20+,Minimal experience,No,More than 20 minutes,Added some time,Somewhat disagree,"The AI tool saved time as far as it graded a portion of Assignment 3, but I still had to take time to review submissions for Mastery/Non-Mastery or Invalid and provide feedback on non-Mastery and Invalid assignments. I felt it involved a lot of work and the compensation was minimal compared to the instructor expectations for Assignment 3.",Neutral,Disagree,Poor,Neither agree nor disagree,Somewhat disagree,Discontinue,NA,AI provides formative feedback only; I grade all submissions independently.,I hope to continue the opportunity to provide real feedback that gives the learners a human connection.,100,TRUE,17,TRUE,FALSE,Human-led grading,4,5,1,6,-1,2,3,2,1,3,2,0,Discontinue,No saving or added time,Neutral/disagree,Neutral/disagree,Neutral/disagree,3,4,0.3125
46176.25828,46176.26064,IP Address,40.142.11.108,100,204,TRUE,46176.26064,R_3uDKRlMM6Dy4YY3,NA,NA,NA,NA,30.2296,-81.8124,anonymous,EN,6 or more cohorts,Female,20+,Minimal experience,No,6-10 minutes,Saved some time,Somewhat agree,Vollee was not always quick. Sometimes there was a several day wait period.,Agree,Agree,Good,Somewhat agree,Strongly agree,Continue as-is,NA,AI flags low-confidence submissions for my review; the rest are auto-finalized,NA,100,TRUE,16,TRUE,FALSE,Limited human review,4,5,1,3,1,4,4,4,3,4,5,1,Continue in some form,Saved time,Agree,Agree,Agree,1,4,0.729166667
46176.60359,46176.60575,IP Address,174.230.73.40,100,186,TRUE,46176.60576,R_6FVuHh6yfubqLs1,NA,NA,NA,NA,25.7277,-80.3716,anonymous,EN,6 or more cohorts,Female,20+,Some experience,Yes,6-10 minutes,Saved significant time,Somewhat agree,NA,Agree,Agree,Fair,Strongly agree,Strongly agree,Continue as-is,NA,I have no strong preference.,NA,100,TRUE,15,TRUE,FALSE,No strong preference,4,5,2,3,2,4,4,4,2,5,5,1,Continue in some form,Saved time,Agree,Agree,Agree,NA,4,0.708333333
46176.62193,46176.62373,IP Address,108.213.58.174,100,154,TRUE,46176.62373,R_7sbojaXsI5YzAKR,NA,NA,NA,NA,25.6062,-80.3452,anonymous,EN,6 or more cohorts,Female,20+,Minimal experience,No,11-15 minutes,Saved some time,Somewhat agree,NA,Agree,Agree,Excellent,Strongly agree,Strongly agree,Continue as-is,NA,AI provides a first-pass grade and feedback; I review and approve every submission.,NA,100,TRUE,15,TRUE,FALSE,Universal human review,4,5,1,4,1,4,4,4,4,5,5,1,Continue in some form,Saved time,Agree,Agree,Agree,2,4,0.875
46178.25257,46178.2622,IP Address,172.1.179.222,100,831,TRUE,46178.26221,R_1SIhOPr63zoQGxZ,NA,NA,NA,NA,25.6639,-80.4372,anonymous,EN,6 or more cohorts,Female,20+,Extensive experience,No,3-5 minutes,Saved some time,Somewhat agree,"As a new tool, it has its challenges, but it is always useful to read and learn from another perspective on the students’ work.",Agree,Agree,Fair,Somewhat agree,Somewhat agree,Continue as-is,NA,AI provides a first-pass grade and feedback; I review and approve every submission.,I suggest using AI with another assignment. Phonological Awareness is a topic I prefer to evaluate myself because it is challenging. Maybe give AI the assignment on how to engage families in their children’s emergent reading and writing development. Just a suggestion.,100,TRUE,17,TRUE,FALSE,Universal human review,4,5,3,2,1,4,4,4,2,4,4,1,Continue in some form,Saved time,Agree,Agree,Agree,2,4,0.645833333
46181.26697,46181.27454,IP Address,168.221.170.2,100,653,TRUE,46181.27454,R_3ieWmGFJKPLeMWC,NA,NA,NA,NA,25.6992,-80.3613,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,11-15 minutes,Made no difference,Neither agree nor disagree,"Vollee provides some feedback as to why the assignment was returned, but sometimes the feedback seemed very rigid and the assignment could have been determined mastery and not as low as indicated.",Agree,Agree,Good,Somewhat agree,Somewhat agree,Continue as-is,NA,AI flags low-confidence submissions for my review; the rest are auto-finalized,NA,100,TRUE,16,TRUE,FALSE,Limited human review,4,5,2,4,0,3,4,4,3,4,4,1,Continue in some form,No saving or added time,Neutral/disagree,Agree,Agree,1,4,0.729166667
46181.83472,46181.83721,IP Address,165.1.128.248,100,215,TRUE,46181.83722,R_3oQuFYSCb5m1VSx,NA,NA,NA,NA,33.7485,-84.3871,anonymous,EN,6 or more cohorts,Female,16-20,Minimal experience,No,6-10 minutes,Made no difference,Somewhat disagree,Regarding the workflow there was no major issues with the AI assisted grading. It was a little frustrating toggling between platforms but that is the only drawback.,Disagree,Neutral,Fair,Somewhat agree,Neither agree nor disagree,Continue with modifications (please describe),We probably need to have more integrity checks to make sure the assignments really meet Mastery. There were many that were scored Mastery and I was surprised.,AI grades and delivers feedback automatically; I spot-check a random sample.,NA,100,TRUE,17,TRUE,FALSE,Limited human review,4,4,1,3,0,2,2,3,2,4,3,1,Continue in some form,No saving or added time,Neutral/disagree,Agree,Neutral/disagree,1,4,0.458333333
46182.35314,46182.37104,IP Address,108.200.236.81,100,1546,TRUE,46182.37105,R_3ixL7F7RkvcLyy3,NA,NA,NA,NA,25.7267,-80.4496,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,3-5 minutes,Saved significant time,Somewhat agree,"Overall, for me, the workflow was most effective as a first‑pass assistant rather than a fully autonomous grader. It improved efficiency and consistency but still required careful instructor oversight to ensure accuracy and meaningful feedback.",Agree,Agree,Good,Somewhat agree,Somewhat agree,Continue with modifications (please describe),"The system is helpful for efficiency and consistency, but the non‑mastery feedback needs to be more specific. Instead of simply flagging an issue and waiting for instructor review, the AI should clearly state what the learner needs to fix so they can revise and resubmit independently. Improving this aspect would make the workflow much smoother for both learners and instructors.",AI provides formative feedback only; I grade all submissions independently.,One thing I’d add is the importance of continuing to refine the clarity and usefulness of AI‑generated feedback. Improving how the system explains non‑mastery issues and increasing transparency in how it evaluates responses would make the tool more effective for both instructors and students.,100,TRUE,18,TRUE,FALSE,Human-led grading,4,5,2,2,2,4,4,4,3,4,4,1,Continue in some form,Saved time,Agree,Agree,Agree,3,4,0.729166667
46191.36314,46191.36711,IP Address,168.221.179.182,100,342,TRUE,46191.36711,R_1giuY0J1AvV3y5Q,NA,NA,NA,NA,25.633,-80.3189,anonymous,EN,6 or more cohorts,Female,20+,Some experience,No,6-10 minutes,Saved some time,Neither agree nor disagree,It did help but I found myself rechecking the work. Do not trust it 100%.,Agree,Neutral,Good,Somewhat agree,Neither agree nor disagree,Continue as-is,NA,AI provides a first-pass grade and feedback; I review and approve every submission.,NA,100,TRUE,16,TRUE,FALSE,Universal human review,4,5,2,3,1,3,4,3,3,4,3,1,Continue in some form,Saved time,Neutral/disagree,Agree,Neutral/disagree,2,4,0.666666667
